"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"87",1987,-18.8999996185303,-18.5,-15.6000003814697,-4.90000009536743,4.90000009536743,11.1999998092651,13.1000003814697,10,3.29999995231628,-3.70000004768372,-15.5,-21
"88",1988,-22.1000003814697,-18.8000011444092,-12.3000001907349,-3.60000014305115,5.80000019073486,12,13.5,10.1000003814697,3.60000014305115,-10.4000005722046,-20.3999996185303,-18
"89",1989,-31.5,-17.6000003814697,-18.3999996185303,-2.20000004768372,4.59999990463257,10.9000005722046,13.6999998092651,12.1999998092651,5.5,-7.09999990463257,-23,-17.3000011444092
"90",1990,-25.8999996185303,-31.2000007629395,-11.6999998092651,-1.70000004768372,7.40000009536743,11.8000001907349,14,11.1999998092651,4.09999990463257,-8.19999980926514,-24.3999996185303,-24.7000007629395
"91",1991,-22.2000007629395,-19.8999996185303,-15.1000003814697,-2.60000014305115,6.5,12.1000003814697,11.6999998092651,8.90000057220459,5.59999990463257,-8.30000019073486,-19.2000007629395,-22.5
"92",1992,-19.6000003814697,-22.3999996185303,-12.9000005722046,-6.70000028610229,2,11.6999998092651,13.5,9.80000019073486,0.200000002980232,-10.5,-15.4000005722046,-25.2000007629395
"93",1993,-22.6000003814697,-18.5,-12.3000001907349,-1.10000002384186,6.59999990463257,12.1000003814697,14.3000001907349,10.1000003814697,3.70000004768372,-4.5,-16.1000003814697,-18.7000007629395
"94",1994,-21.3999996185303,-23.6000003814697,-14.5,-3,6,10.8000001907349,14,12.1000003814697,3.40000009536743,-7.5,-20.8999996185303,-24
"95",1995,-22.7000007629395,-19.1000003814697,-18.3000011444092,-0.200000002980232,7.5,11.9000005722046,12.9000005722046,10,6.40000009536743,-7,-20.3000011444092,-22.8000011444092
"96",1996,-29.8000011444092,-20.3999996185303,-13.9000005722046,-4.90000009536743,4.80000019073486,11,12.8000001907349,8.60000038146973,2.40000009536743,-13.5,-21.5,-26
"97",1997,-26.6000003814697,-14.4000005722046,-18,-3.90000009536743,5.09999990463257,12,13.6999998092651,11.1999998092651,6.20000028610229,-10.6000003814697,-14.6999998092651,-20.7000007629395
"98",1998,-22,-16.8999996185303,-12.8000001907349,-1.10000002384186,6.5,11.6000003814697,13.4000005722046,9.10000038146973,4.90000009536743,-7,-17.8000011444092,-22.8000011444092
"99",1999,-26.7000007629395,-26.3000011444092,-15.5,-4.20000028610229,4.30000019073486,12.4000005722046,12.8000001907349,11.3000001907349,4.80000019073486,-8.10000038146973,-19.8999996185303,-23.6000003814697
"100",2000,-23.8000011444092,-14.1999998092651,-11.1000003814697,-5.09999990463257,2.90000009536743,11.8000001907349,12,8,2.5,-8.40000057220459,-13.8000001907349,-19.5
"101",2001,-15.6000003814697,-17.1000003814697,-14.3000001907349,-4.59999990463257,2.60000014305115,11.9000005722046,12.1000003814697,11,5.20000028610229,-8.30000019073486,-18.6000003814697,-23.8000011444092
"102",2002,-18,-19.7000007629395,-16.6000003814697,-8.19999980926514,5.20000028610229,10.8000001907349,12.6999998092651,9.10000038146973,5.09999990463257,-3.90000009536743,-9.69999980926514,-15.6999998092651
"103",2003,-20.5,-15.1999998092651,-15.6000003814697,-3.60000014305115,4.20000028610229,11.1999998092651,13.4000005722046,10.1000003814697,3.10000014305115,-3.29999995231628,-16.8999996185303,-22.2000007629395
"104",2004,-27.2000007629395,-18.6000003814697,-17.1000003814697,-3.29999995231628,6.30000019073486,13.4000005722046,14.1999998092651,12.3000001907349,2.10000014305115,-5.90000009536743,-15.1000003814697,-21.2000007629395
"105",2005,-22.2000007629395,-19.8000011444092,-10.6999998092651,-3.5,7.70000028610229,11.6999998092651,12.4000005722046,10.9000005722046,5.40000009536743,-5.20000028610229,-20.5,-17.2000007629395
"106",2006,-25.3000011444092,-15.8000001907349,-17.1000003814697,-5.20000028610229,6.20000028610229,11.3000001907349,13.1000003814697,9.90000057220459,5.80000019073486,-4.5,-23.8000011444092,-18.8999996185303
"107",2007,-22,-22.8000011444092,-21.7000007629395,-1.89999997615814,5.70000028610229,12.1000003814697,13.8000001907349,11.6000003814697,5.09999990463257,-7.20000028610229,-12.1999998092651,-20.3999996185303
"108",2008,-24.2000007629395,-21.8999996185303,-13.6999998092651,-4.30000019073486,5.5,10.9000005722046,12.1000003814697,9.40000057220459,4.59999990463257,-9.69999980926514,-17.3000011444092,-23.5
"109",2009,-25,-21.3000011444092,-17.8999996185303,-4.59999990463257,5.70000028610229,11.1999998092651,14,10.1000003814697,5.20000028610229,-4.59999990463257,-18.7000007629395,-20
"110",2010,-21.5,-16.3000011444092,-13.6000003814697,-2.60000014305115,6.90000009536743,11.1000003814697,12.1999998092651,11.3000001907349,4.20000028610229,-5.80000019073486,-14.1999998092651,-26.2000007629395
"111",2011,-22.2000007629395,-22.8000011444092,-17.3999996185303,-5,6.09999990463257,11.1999998092651,12.3000001907349,9.5,5.30000019073486,-5.09999990463257,-23.2000007629395,-17.8999996185303
"112",2012,-32.2000007629395,-15.5,-18.5,-2.29999995231628,4.5,11.6999998092651,11.6999998092651,9.69999980926514,4.40000009536743,-9,-23.5,-27.1000003814697
"113",2013,-19.6000003814697,-18.3999996185303,-16.7000007629395,-11.1000003814697,2.60000014305115,13.8000001907349,13.6999998092651,11.1000003814697,3.70000004768372,-1.80000007152557,-18.1000003814697,-23.7000007629395
"114",2014,-13.8000001907349,-22.3000011444092,-14.5,-4.09999990463257,6.30000019073486,9.90000057220459,12.1999998092651,10.6000003814697,4.40000009536743,-7.5,-14.3000001907349,-15.6000003814697
"115",2015,-21.8000011444092,-18.2000007629395,-13,-2.10000014305115,8.40000057220459,11.8000001907349,12.9000005722046,9.30000019073486,2.79999995231628,-3.70000004768372,-14.6999998092651,-20
"116",2016,-15.1999998092651,-14.1999998092651,-10.1000003814697,0.100000001490116,7.20000028610229,11.8000001907349,13.8000001907349,12,4.70000028610229,-7.40000009536743,-16.8000011444092,-22.8999996185303
"117",2017,-23.3000011444092,-19.5,-20.8000011444092,-2.20000004768372,5.70000028610229,12.1000003814697,14.5,10.6999998092651,5.70000028610229,-4.5,-19,-15
"118",2018,-21.8000011444092,-20.3999996185303,-13.1000003814697,-4.40000009536743,5.20000028610229,11.1000003814697,14,9.80000019073486,5.30000019073486,-2.70000004768372,-13.5,-19.1000003814697
"119",2019,-22,-18.7000007629395,-7.30000019073486,-2.5,6.80000019073486,13.4000005722046,15.6999998092651,10,5.70000028610229,-4.59999990463257,-12.5,-21.5
"120",2020,-29.8999996185303,-22.7000007629395,-17.2000007629395,-4.80000019073486,7.09999990463257,11.1000003814697,12.6000003814697,11.3000001907349,4.90000009536743,-6.70000028610229,-18.8999996185303,-18.7000007629395
"121",2021,-18.3000011444092,-25.1000003814697,-18.1000003814697,-6.5,5.40000009536743,12.1999998092651,13.4000005722046,9.69999980926514,3.10000014305115,-4.90000009536743,-21.1000003814697,-21.6000003814697
